,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,167.64000000000001,167.64000000000001,2.04,3.06,1.0,0.53,0.69,1.6,0.6,1.58,1.0,56.75,24.0,2.0,0.0,507.0,167.64000000000001,165.1,3.42,2.01,1.0,0.34,0.4,0.0,0.0,0.0,0.25,61.29,26.0,0.0,1.0,207.0
0,160.02,167.64000000000001,1.74,3.31,0.0,0.52,0.65,0.5,0.54,3.54,0.62,56.75,31.0,15.0,2.0,4415.0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0
0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0,167.64000000000001,167.64000000000001,2.46,2.58,0.0,0.41,0.64,0.4,0.4,0.77,0.72,56.75,32.0,3.0,4.0,1910.0
0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0,160.02,160.02,2.23,3.35,1.0,0.43,0.61,0.8,0.39,1.11,0.57,56.75,36.0,11.0,7.0,4652.0
0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0,170.18,180.34,3.82,1.33,0.0,0.21,0.51,2.2,0.37,0.93,0.5,61.29,28.0,2.0,3.0,1088.0
0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0,165.1,170.18,2.14,1.09,0.0,0.32,0.67,0.5,0.37,1.98,0.8,56.75,32.0,5.0,3.0,2149.0
0,162.56,165.1,2.36,3.42,1.0,0.33,0.65,0.8,0.29,1.21,0.66,56.75,33.0,18.0,4.0,5363.0,162.56,162.56,2.7,3.87,0.0,0.42,0.71,0.2,0.31,2.12,1.0,56.75,30.0,4.0,2.0,1669.0
0,182.88,186.350728762539,1.99,1.05,0.0,0.49,0.52,0.6,0.36,2.78,0.85,106.69,47.0,7.0,7.0,4529.0,167.64000000000001,175.6503915967528,3.72,0.47,0.0,0.2,0.6,0.0,0.0,0.0,0.0,106.69,45.0,0.0,1.0,129.0
0,187.96,189.9175078178011,1.49,2.2,0.0,0.54,0.53,2.1,1.0,0.31,0.3,83.99000000000001,32.0,3.0,1.0,1140.0,182.88,186.350728762539,2.67,1.2,0.0,0.51,0.27,4.0,0.6,3.0,0.0,77.18,32.0,0.0,1.0,300.0
0,187.96,189.9175078178011,1.49,2.2,0.0,0.54,0.53,2.1,1.0,0.31,0.3,83.99000000000001,32.0,3.0,1.0,1140.0,180.34,184.567339234908,1.07,1.43,0.0,0.42,0.54,1.0,0.42,3.0,0.0,83.99000000000001,39.0,2.0,1.0,900.0
